Pedido,Data pedido,Fornecedor,Data prevista,Data entregue,Status da Entrega,Pontualidade
1,2025-02-18,MJA,2025-02-28,2025-06-23,Entregue,Fora do Prazo
2,2025-02-18,TOD,2025-02-28,2025-04-14,Entregue,Fora do Prazo
3,2025-02-18,MUL,2025-02-28,2025-06-23,Entregue,Fora do Prazo
4,2025-02-18,PB,2025-02-28,2025-06-23,Entregue,Fora do Prazo
5,2025-02-18,PB,2025-02-28,2025-06-23,Entregue,Fora do Prazo
6,2025-02-18,PB,2025-02-28,2025-06-23,Entregue,Fora do Prazo
7,2025-02-18,PIN,2025-02-28,2025-06-23,Entregue,Fora do Prazo
8,2025-02-19,PB,2025-02-28,2025-04-10,Entregue,Fora do Prazo
9,2025-02-19,DCS,2025-02-28,2025-03-18,Entregue,Fora do Prazo
10,2025-02-19,MJA,2025-02-28,2025-03-18,Entregue,Fora do Prazo
11,2025-02-19,MJA,2025-02-28,2025-03-18,Entregue,Fora do Prazo
12,2025-02-19,TOD,2025-02-28,2025-03-18,Entregue,Fora do Prazo
13,2025-02-21,JPM,2025-02-28,2025-03-31,Entregue,Fora do Prazo
14,2025-02-21,MJA,2025-02-28,2025-03-31,Entregue,Fora do Prazo
15,2025-02-21,VC,2025-02-28,2025-03-31,Entregue,Fora do Prazo
16,2025-02-21,ALRT,2025-02-28,2025-03-31,Entregue,Fora do Prazo
17,2025-02-21,ALRT,2025-02-28,2025-03-31,Entregue,Fora do Prazo
18,2025-02-21,ALRT,2025-02-28,2025-03-31,Entregue,Fora do Prazo
19,2025-02-22,ALRT,2025-02-28,2025-03-31,Entregue,Fora do Prazo
20,2025-02-22,ALRT,2025-02-22,2025-03-31,Entregue,Fora do Prazo
21,2025-02-22,ALRT,2025-02-28,2025-03-31,Entregue,Fora do Prazo
22,2025-02-22,ALRT,2025-02-28,2025-03-31,Entregue,Fora do Prazo
23,2025-02-22,MF,2025-02-28,2025-03-31,Entregue,Fora do Prazo
24,2025-02-22,MF,2025-02-28,2025-03-31,Entregue,Fora do Prazo
25,2025-02-22,CCT,2025-02-28,2025-03-31,Entregue,Fora do Prazo
26,2025-02-22,CCT,2025-02-28,2025-03-31,Entregue,Fora do Prazo
27,2025-02-22,STO,2025-02-28,2025-03-31,Entregue,Fora do Prazo
28,2025-02-22,DCS,2025-02-28,2025-03-31,Entregue,Fora do Prazo
