Pedido,Data pedido,Fornecedor,Data prevista,Data entregue,Status da Entrega,Pontualidade,Dias_para_Entrega,Dias_previsto,Predição_dias_para_Entrega,Predição_data_de_entrega
1,2025-02-18,MJA,2025-02-28,2025-06-23,Entregue,Fora do Prazo,125.0,10,,
2,2025-02-18,TOD,2025-02-28,2025-04-14,Entregue,Fora do Prazo,55.0,10,,
3,2025-02-18,MUL,2025-02-28,2025-06-23,Entregue,Fora do Prazo,125.0,10,,
4,2025-02-18,PB,2025-02-28,2025-06-23,Entregue,Fora do Prazo,125.0,10,,
5,2025-02-18,PB,2025-02-28,2025-06-23,Entregue,Fora do Prazo,125.0,10,,
6,2025-02-18,PB,2025-02-28,2025-06-23,Entregue,Fora do Prazo,125.0,10,,
7,2025-02-18,PIN,2025-02-28,2025-06-23,Entregue,Fora do Prazo,125.0,10,,
8,2025-02-19,PB,2025-02-28,2025-04-10,Entregue,Fora do Prazo,50.0,9,,
9,2025-02-19,DCS,2025-02-28,2025-03-18,Entregue,Fora do Prazo,27.0,9,,
10,2025-02-19,MJA,2025-02-28,2025-03-18,Entregue,Fora do Prazo,27.0,9,,
11,2025-02-19,MJA,2025-02-28,2025-03-18,Entregue,Fora do Prazo,27.0,9,,
12,2025-02-19,TOD,2025-02-28,2025-03-18,Entregue,Fora do Prazo,27.0,9,,
13,2025-02-21,JPM,2025-02-28,2025-03-31,Entregue,Fora do Prazo,38.0,7,,
14,2025-02-21,MJA,2025-02-28,2025-03-31,Entregue,Fora do Prazo,38.0,7,,
15,2025-02-21,VC,2025-02-28,2025-03-31,Entregue,Fora do Prazo,38.0,7,,
16,2025-02-21,ALRT,2025-02-28,2025-03-31,Entregue,Fora do Prazo,38.0,7,,
17,2025-02-21,ALRT,2025-02-28,2025-03-31,Entregue,Fora do Prazo,38.0,7,,
18,2025-02-21,ALRT,2025-02-28,2025-03-31,Entregue,Fora do Prazo,38.0,7,,
19,2025-02-22,ALRT,2025-02-28,2025-03-31,Entregue,Fora do Prazo,37.0,6,,
20,2025-02-22,ALRT,2025-02-22,2025-03-31,Entregue,Fora do Prazo,37.0,0,,
21,2025-02-22,ALRT,2025-02-28,2025-03-31,Entregue,Fora do Prazo,37.0,6,,
22,2025-02-22,ALRT,2025-02-28,2025-03-31,Entregue,Fora do Prazo,37.0,6,,
23,2025-02-22,MF,2025-02-28,2025-03-31,Entregue,Fora do Prazo,37.0,6,,
24,2025-02-22,MF,2025-02-28,2025-03-31,Entregue,Fora do Prazo,37.0,6,,
25,2025-02-22,CCT,2025-02-28,2025-03-31,Entregue,Fora do Prazo,37.0,6,,
26,2025-02-22,CCT,2025-02-28,2025-03-31,Entregue,Fora do Prazo,37.0,6,,
27,2025-02-22,STO,2025-02-28,2025-03-31,Entregue,Fora do Prazo,37.0,6,,
28,2025-02-22,DCS,2025-02-28,2025-03-31,Entregue,Fora do Prazo,37.0,6,,
29,2025-02-22,STO,2025-02-28,2025-03-31,Entregue,Fora do Prazo,37.0,6,,
30,2025-02-22,STO,2025-02-28,2025-03-31,Entregue,Fora do Prazo,37.0,6,,
31,2025-02-22,FT,2025-02-28,2025-03-31,Entregue,Fora do Prazo,37.0,6,,
32,2025-02-22,PB,2025-02-28,2025-03-31,Entregue,Fora do Prazo,37.0,6,,
33,2025-02-22,MJA,2025-02-28,2025-03-31,Entregue,Fora do Prazo,37.0,6,,
34,2025-02-22,AEA,2025-02-28,2025-03-31,Entregue,Fora do Prazo,37.0,6,,
35,2025-02-22,AEA,2025-02-28,2025-03-01,Entregue,Fora do Prazo,7.0,6,,
36,2025-02-22,MJA,2025-02-28,2025-03-03,Entregue,Fora do Prazo,9.0,6,,
37,2025-02-24,RTPS,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
38,2025-02-24,WGA,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
39,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
40,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
41,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
42,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
43,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
44,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
45,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
46,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
47,2025-02-24,FT,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
48,2025-02-24,VC,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
49,2025-02-24,VC,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
50,2025-02-24,VC,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
51,2025-02-24,SAP,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
52,2025-02-24,TOD,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
53,2025-02-24,MJA,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
54,2025-02-24,AB,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
55,2025-02-24,STO,2025-02-28,2025-04-10,Entregue,Fora do Prazo,45.0,4,,
56,2025-02-24,PB,2025-03-17,2025-04-10,Entregue,Fora do Prazo,45.0,21,,
57,2025-02-24,JOW,2025-03-17,2025-04-10,Entregue,Fora do Prazo,45.0,21,,
58,2025-02-25,JOW,2025-03-01,2025-04-10,Entregue,Fora do Prazo,44.0,4,,
59,2025-02-25,JOW,2025-02-28,2025-03-31,Entregue,Fora do Prazo,34.0,3,,
60,2025-02-26,PB,2025-02-28,2025-03-31,Entregue,Fora do Prazo,33.0,2,,
61,2025-02-26,BFPS,2025-02-28,2025-03-31,Entregue,Fora do Prazo,33.0,2,,
62,2025-02-26,TOD,2025-02-28,2025-03-31,Entregue,Fora do Prazo,33.0,2,,
63,2025-02-26,TOD,2025-02-28,2025-03-31,Entregue,Fora do Prazo,33.0,2,,
64,2025-02-26,TOD,2025-02-28,2025-03-31,Entregue,Fora do Prazo,33.0,2,,
65,2025-02-26,AFE,2025-02-28,2025-03-31,Entregue,Fora do Prazo,33.0,2,,
66,2025-02-26,AFE,2025-02-28,2025-03-31,Entregue,Fora do Prazo,33.0,2,,
67,2025-02-26,FSS,2025-02-28,2025-03-31,Entregue,Fora do Prazo,33.0,2,,
68,2025-02-26,CM,2025-04-28,2025-04-27,Entregue,Dentro do prazo,60.0,61,,
69,2025-02-26,CIMDE,2025-04-28,2025-04-27,Entregue,Dentro do prazo,60.0,61,,
